,mean_saocom,median_saocom,count_saocom,polygon_id,filename_saocom,polarization,local_incidence_angle,date_saocom,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
0,-14.068603515625,-14.351556777954102,151,0,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,HH,30.51236695464523,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
1,-26.903839111328125,-26.83827781677246,151,0,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,HV,30.51236695464523,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
2,0.2214127629995346,0.20461514592170715,151,0,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,RVI,30.51236695464523,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
3,-15.731841087341309,-16.073808670043945,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,HH,21.086460973270835,20230303,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
4,-25.712074279785156,-25.79181480407715,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,HV,21.086460973270835,20230303,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
5,0.40768054127693176,0.37409892678260803,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,RVI,21.086460973270835,20230303,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
6,-15.731841087341309,9.718006134033203,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,CR,21.086460973270835,20230303,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
7,-14.068603515625,12.48672103881836,151,0,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,CR,30.51236695464523,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
8,-12.173442840576172,-12.196632385253906,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,HH,30.464544511003005,20230805,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
9,-24.741281509399414,-24.8707218170166,153,0,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,HV,30.464544511003005,20230805,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
