,mean_csg,median_csg,count_csg,polygon_id,filename_csg,polarization,local_incidence_angle,date_csg,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
13,0.7101947665214539,0.6209183931350708,2317.0,2,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.971415139093395,20230806,20230808,0.8621592,0.8698089122772217,326.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.55854845,20230808,"POLYGON ((105.69796938299756 10.50126063484782, 105.6980226941 10.4998985516, 105.7000697537 10.4994939002, 105.69994930517663 10.500844109432625, 105.69796938299756 10.50126063484782))",3.2609542183376243
14,-13.001571655273438,7.333379745483398,2317.0,2,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.971415139093395,20230806,20230808,0.8621592,0.8698089122772217,326.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.55854845,20230808,"POLYGON ((105.69796938299756 10.50126063484782, 105.6980226941 10.4998985516, 105.7000697537 10.4994939002, 105.69994930517663 10.500844109432625, 105.69796938299756 10.50126063484782))",3.2609542183376243
16,-12.536680221557617,-12.74779224395752,2485.0,3,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.95780897073614,20230806,20230808,0.80237204,0.8375184535980225,349.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.48344752,20230808,"POLYGON ((105.6950949228 10.5040402768, 105.6951901349 10.5027549138, 105.6974276186 10.5022550504, 105.6973086035 10.5036118225, 105.6950949228 10.5040402768))",3.4974947910530942
17,-20.41320037841797,-20.365447998046875,2485.0,3,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.95780897073614,20230806,20230808,0.80237204,0.8375184535980225,349.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.48344752,20230808,"POLYGON ((105.6950949228 10.5040402768, 105.6951901349 10.5027549138, 105.6974276186 10.5022550504, 105.6973086035 10.5036118225, 105.6950949228 10.5040402768))",3.4974947910530942
18,0.6550156474113464,0.5654996633529663,2485.0,3,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.95780897073614,20230806,20230808,0.80237204,0.8375184535980225,349.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.48344752,20230808,"POLYGON ((105.6950949228 10.5040402768, 105.6951901349 10.5027549138, 105.6974276186 10.5022550504, 105.6973086035 10.5036118225, 105.6950949228 10.5040402768))",3.4974947910530942
19,-12.536680221557617,7.6176557540893555,2485.0,3,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.95780897073614,20230806,20230808,0.80237204,0.8375184535980225,349.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.48344752,20230808,"POLYGON ((105.6950949228 10.5040402768, 105.6951901349 10.5027549138, 105.6974276186 10.5022550504, 105.6973086035 10.5036118225, 105.6950949228 10.5040402768))",3.4974947910530942
21,-13.662310600280762,-13.705595016479492,1712.0,4,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.959665012425575,20230806,20230808,0.8775151,0.8788461685180664,241.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.56871456,20230808,"POLYGON ((105.69492301205248 10.505894267492467, 105.6950949228 10.5050638066, 105.6972848005 10.5045639432, 105.69716049585249 10.505584828292466, 105.69492301205248 10.505894267492467))",2.4069851727154132
22,-20.215843200683594,-20.263832092285156,1712.0,4,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.959665012425575,20230806,20230808,0.8775151,0.8788461685180664,241.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.56871456,20230808,"POLYGON ((105.69492301205248 10.505894267492467, 105.6950949228 10.5050638066, 105.6972848005 10.5045639432, 105.69716049585249 10.505584828292466, 105.69492301205248 10.505894267492467))",2.4069851727154132
23,0.8095167875289917,0.7112770080566406,1712.0,4,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.959665012425575,20230806,20230808,0.8775151,0.8788461685180664,241.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.56871456,20230808,"POLYGON ((105.69492301205248 10.505894267492467, 105.6950949228 10.5050638066, 105.6972848005 10.5045639432, 105.69716049585249 10.505584828292466, 105.69492301205248 10.505894267492467))",2.4069851727154132
24,-13.662310600280762,6.558237075805664,1712.0,4,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.959665012425575,20230806,20230808,0.8775151,0.8788461685180664,241.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.56871456,20230808,"POLYGON ((105.69492301205248 10.505894267492467, 105.6950949228 10.5050638066, 105.6972848005 10.5045639432, 105.69716049585249 10.505584828292466, 105.69492301205248 10.505894267492467))",2.4069851727154132
26,-11.408792495727539,-11.539093017578125,1070.0,5,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.89021443655707,20230806,20230808,0.8600575,0.8609470129013062,150.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5795848,20230808,"POLYGON ((105.68683527530376 10.495542599135664, 105.68731133567775 10.496098002905322, 105.6863274775715 10.497843557609967, 105.68593076059317 10.497462709310772, 105.68683527530376 10.495542599135664))",1.5026672065067026
27,-19.830951690673828,-19.85964012145996,1070.0,5,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.89021443655707,20230806,20230808,0.8600575,0.8609470129013062,150.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5795848,20230808,"POLYGON ((105.68683527530376 10.495542599135664, 105.68731133567775 10.496098002905322, 105.6863274775715 10.497843557609967, 105.68593076059317 10.497462709310772, 105.68683527530376 10.495542599135664))",1.5026672065067026
28,0.5786064267158508,0.4849398136138916,1070.0,5,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.89021443655707,20230806,20230808,0.8600575,0.8609470129013062,150.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5795848,20230808,"POLYGON ((105.68683527530376 10.495542599135664, 105.68731133567775 10.496098002905322, 105.6863274775715 10.497843557609967, 105.68593076059317 10.497462709310772, 105.68683527530376 10.495542599135664))",1.5026672065067026
29,-11.408792495727539,8.320547103881836,1070.0,5,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.89021443655707,20230806,20230808,0.8600575,0.8609470129013062,150.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5795848,20230808,"POLYGON ((105.68683527530376 10.495542599135664, 105.68731133567775 10.496098002905322, 105.6863274775715 10.497843557609967, 105.68593076059317 10.497462709310772, 105.68683527530376 10.495542599135664))",1.5026672065067026
31,-11.90816593170166,-11.84793472290039,2055.0,6,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.87968784474024,20230806,20230808,0.8764185,0.8754171133041382,289.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6028535,20230808,"POLYGON ((105.68501037720345 10.496923174220246, 105.68431215532159 10.496288427054921, 105.68529601342784 10.493860519147551, 105.68602597266796 10.494622215745942, 105.68501037720345 10.496923174220246))",2.887727256299029
32,-19.734891891479492,-19.751850128173828,2055.0,6,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.87968784474024,20230806,20230808,0.8764185,0.8754171133041382,289.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6028535,20230808,"POLYGON ((105.68501037720345 10.496923174220246, 105.68431215532159 10.496288427054921, 105.68529601342784 10.493860519147551, 105.68602597266796 10.494622215745942, 105.68501037720345 10.496923174220246))",2.887727256299029
33,0.6463765501976013,0.5638575553894043,2055.0,6,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.87968784474024,20230806,20230808,0.8764185,0.8754171133041382,289.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6028535,20230808,"POLYGON ((105.68501037720345 10.496923174220246, 105.68431215532159 10.496288427054921, 105.68529601342784 10.493860519147551, 105.68602597266796 10.494622215745942, 105.68501037720345 10.496923174220246))",2.887727256299029
34,-11.90816593170166,7.9039154052734375,2055.0,6,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.87968784474024,20230806,20230808,0.8764185,0.8754171133041382,289.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6028535,20230808,"POLYGON ((105.68501037720345 10.496923174220246, 105.68431215532159 10.496288427054921, 105.68529601342784 10.493860519147551, 105.68602597266796 10.494622215745942, 105.68501037720345 10.496923174220246))",2.887727256299029
36,-11.997358322143555,-12.09622573852539,600.0,7,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.885502791574254,20230806,20230808,0.89937025,0.9069430828094482,86.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.58599323,20230808,"POLYGON ((105.68572050059466 10.496899371201545, 105.68548247040765 10.49661373497715, 105.68626400285497 10.494780902537274, 105.68648616436283 10.4952728315904, 105.68572050059466 10.496899371201545))",0.8455281840469757
37,-17.694711685180664,-17.632638931274414,600.0,7,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.885502791574254,20230806,20230808,0.89937025,0.9069430828094482,86.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.58599323,20230808,"POLYGON ((105.68572050059466 10.496899371201545, 105.68548247040765 10.49661373497715, 105.68626400285497 10.494780902537274, 105.68648616436283 10.4952728315904, 105.68572050059466 10.496899371201545))",0.8455281840469757
38,0.9242661595344543,0.873737096786499,600.0,7,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.885502791574254,20230806,20230808,0.89937025,0.9069430828094482,86.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.58599323,20230808,"POLYGON ((105.68572050059466 10.496899371201545, 105.68548247040765 10.49661373497715, 105.68626400285497 10.494780902537274, 105.68648616436283 10.4952728315904, 105.68572050059466 10.496899371201545))",0.8455281840469757
39,-11.997358322143555,5.536413192749023,600.0,7,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.885502791574254,20230806,20230808,0.89937025,0.9069430828094482,86.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.58599323,20230808,"POLYGON ((105.68572050059466 10.496899371201545, 105.68548247040765 10.49661373497715, 105.68626400285497 10.494780902537274, 105.68648616436283 10.4952728315904, 105.68572050059466 10.496899371201545))",0.8455281840469757
