,mean_novasar,median_novasar,count_novasar,polygon_id,incidence_angle_metadata,filename_novasar,incidence_angle,polarization,date_novasar,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2,primary_class,primary_class_fraction,secondary_class,secondary_class_fraction
577,-8.674211502075195,5.921331405639648,5337.0,39,22.706,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_52927_scd_32_240303_020803_HH_HV/image_HH_wgs84_modified-linear.tif,24.057565689086914,CR,20240303,20240304,0.9265261,0.9280612468719482,4493.0,S2A_MSIL2A_20240304T140711_N0510_R110_T20HNJ_20240304T195947.SAFE_NDVI,20240304,Soybean,0.6471571906354515,Maize,0.3528428093645485
578,-9.290044784545898,-9.29491138458252,5073.0,39,24.907,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_53274_scd_32_240325_142435_HH_HV/image_HH_wgs84_modified-linear.tif,25.678726196289062,HH,20240325,20240324,,,,,,,,,
579,-17.025903701782227,-16.920608520507812,5073.0,39,24.907,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_53274_scd_32_240325_142435_HH_HV/image_HV_wgs84_modified-linear.tif,25.678726196289062,HV,20240325,20240324,,,,,,,,,
580,0.6207859516143799,0.5837889313697815,5073.0,39,24.907,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_53274_scd_32_240325_142435_HH_HV/image_wgs84_modified-linear-RVI.tif,25.678726196289062,RVI,20240325,20240324,,,,,,,,,
581,-9.290044784545898,7.625697135925293,5073.0,39,24.907,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_53274_scd_32_240325_142435_HH_HV/image_HH_wgs84_modified-linear.tif,25.678726196289062,CR,20240325,20240324,,,,,,,,,
582,-9.808161735534668,-9.772480964660645,4030.0,40,27.052,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_50945_scd_32_231224_014907_HH_HV/image_HH_wgs84_modified-linear.tif,27.582012176513672,HH,20231224,20231225,,,,,,,,,
583,-16.26131820678711,-16.179183959960938,4030.0,40,27.052,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_50945_scd_32_231224_014907_HH_HV/image_HV_wgs84_modified-linear.tif,27.582012176513672,HV,20231224,20231225,,,,,,,,,
584,0.784007728099823,0.7479895353317261,4030.0,40,27.052,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_50945_scd_32_231224_014907_HH_HV/image_wgs84_modified-linear-RVI.tif,27.582012176513672,RVI,20231224,20231225,,,,,,,,,
585,-9.808161735534668,6.406702995300293,4030.0,40,27.052,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_50945_scd_32_231224_014907_HH_HV/image_HH_wgs84_modified-linear.tif,27.582012176513672,CR,20231224,20231225,,,,,,,,,
586,-12.031665802001953,-11.90158748626709,3305.0,40,29.109,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data-bell-ville-processed/novasar/NovaSAR_01_51208_scd_32_240102_142620_HH_HV/image_HH_wgs84_modified-linear.tif,31.147321701049805,HH,20240102,20240104,,,,,,,,,
