,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha,s2_date_iso
0,-8.705670356750488,-8.73458480834961,145,0,Subset_S1A_IW_GRDH_1SDV_20230306T111144_20230306T111209_047523_05B4DE_D2CD_Orb_NR_Cal_TC_dB,VV,40.726341247558594,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
1,-19.121774673461914,-18.78660774230957,145,0,Subset_S1A_IW_GRDH_1SDV_20230306T111144_20230306T111209_047523_05B4DE_D2CD_Orb_NR_Cal_TC_dB,VH,40.726341247558594,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
2,0.3835166096687317,0.3366483747959137,145,0,Subset_S1A_IW_GRDH_1SDV_20230306T111144_20230306T111209_047523_05B4DE_D2CD_Orb_NR_Cal_TC_dB,RVI,40.726341247558594,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
3,-10.207746505737305,-10.197389602661133,142,0,Subset_S1A_IW_GRDH_1SDV_20230305T224558_20230305T224623_047515_05B494_D765_Orb_NR_Cal_TC_dB,VV,39.7774543762207,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
4,-18.843175888061523,-18.688602447509766,142,0,Subset_S1A_IW_GRDH_1SDV_20230305T224558_20230305T224623_047515_05B494_D765_Orb_NR_Cal_TC_dB,VH,39.7774543762207,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
5,0.5801497101783752,0.45444872975349426,142,0,Subset_S1A_IW_GRDH_1SDV_20230305T224558_20230305T224623_047515_05B494_D765_Orb_NR_Cal_TC_dB,RVI,39.7774543762207,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
6,-10.207746505737305,8.491212844848633,142,0,Subset_S1A_IW_GRDH_1SDV_20230305T224558_20230305T224623_047515_05B494_D765_Orb_NR_Cal_TC_dB,CR,39.7774543762207,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
7,-8.705670356750488,10.052022933959961,145,0,Subset_S1A_IW_GRDH_1SDV_20230306T111144_20230306T111209_047523_05B4DE_D2CD_Orb_NR_Cal_TC_dB,CR,40.726341247558594,20230306,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-03-06
8,-9.774950981140137,-9.724164962768555,147,0,Subset_S1A_IW_GRDH_1SDV_20230808T224604_20230808T224629_049790_05FCD3_C933_Orb_NR_Cal_TC_dB,VV,39.76676940917969,20230808,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-08-08
9,-16.321008682250977,-16.18064308166504,147,0,Subset_S1A_IW_GRDH_1SDV_20230808T224604_20230808T224629_049790_05FCD3_C933_Orb_NR_Cal_TC_dB,VH,39.76676940917969,20230808,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447,2023-08-08
