,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2,primary_class,primary_class_fraction,secondary_class,secondary_class_fraction
13,-10.062726020812988,-9.973368644714355,4107,13,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.21133804321289,20231220,20231225,0.802026,0.8033788800239563,3449,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
14,-10.226536750793457,-10.15281867980957,4873,14,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.29026794433594,20231220,20231225,0.7429288,0.7441146373748779,4096,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
15,-10.740676879882812,-10.63418197631836,6766,15,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.286888122558594,20231220,20231225,0.9234397,0.9244612455368042,5697,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
16,-9.20667839050293,-9.171194076538086,8576,16,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.481319427490234,20231220,20231225,0.8671223,0.8815007209777832,7201,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.9558823529411765,empty,0.03991596638655462
17,-10.701284408569336,-10.635889053344727,6877,17,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.19495391845703,20231220,20231225,0.72387505,0.7357732653617859,5737,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.9973474801061007,No cropland,0.002652519893899204
18,-10.30713176727295,-10.229161262512207,8913,18,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.25804138183594,20231220,20231225,0.88748705,0.8913738131523132,7493,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.993,No cropland,0.007
19,-10.144691467285156,-10.055238723754883,9829,19,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.34415054321289,20231220,20231225,0.8990454,0.9013612866401672,8265,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
20,-9.907224655151367,-9.841991424560547,5830,20,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.363162994384766,20231220,20231225,0.89689,0.8971983194351196,4883,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
21,-11.939022064208984,-11.863266944885254,4245,21,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.25316619873047,20231220,20231225,0.88010174,0.8768458962440491,3569,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
22,-12.043319702148438,-11.93686294555664,4247,22,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.25218963623047,20231220,20231225,0.8880842,0.8883720636367798,3571,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
23,-10.606866836547852,-10.541810989379883,3782,78,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.070621490478516,20231220,20231225,0.23578247,0.229886993765831,3178,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.9144893111638955,No cropland,0.0831353919239905
24,-11.708102226257324,-11.644577026367188,3442,79,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.06937789916992,20231220,20231225,0.25769186,0.24698731303215027,2886,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.9240837696335078,No cropland,0.07329842931937172
