,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2
422,-10.398365020751953,-10.417915344238281,1414.0,42,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.568477630615234,20220602,20220604,0.2073118,0.2085646241903305,1147.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
423,-22.81595230102539,-22.390928268432617,1413.0,42,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.568477630615234,20220602,20220604,0.2073118,0.2085646241903305,1147.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
424,-10.398365020751953,11.973012924194336,1414.0,42,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.568477630615234,20220602,20220604,0.2073118,0.2085646241903305,1147.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
425,0.2792852520942688,0.23549053072929382,1414.0,42,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.568477630615234,20220602,20220604,0.2073118,0.2085646241903305,1147.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
426,-11.660567283630371,-11.621931076049805,1581.0,43,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.2198486328125,20210806,20210808,0.9055865,0.9078549742698669,1279.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
427,-17.299728393554688,-17.104833602905273,1581.0,43,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.2198486328125,20210806,20210808,0.9055865,0.9078549742698669,1279.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
428,-11.660567283630371,5.482902526855469,1581.0,43,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.2198486328125,20210806,20210808,0.9055865,0.9078549742698669,1279.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
429,0.938163161277771,0.8648461699485779,1581.0,43,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.2198486328125,20210806,20210808,0.9055865,0.9078549742698669,1279.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
431,-15.906686782836914,-15.936145782470703,1582.0,43,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.213966369628906,20220602,20220604,0.83970743,0.858816385269165,1174.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
432,-22.561737060546875,-22.00699234008789,1575.0,43,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.213966369628906,20220602,20220604,0.83970743,0.858816385269165,1174.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
433,-15.906686782836914,6.0708465576171875,1582.0,43,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.213966369628906,20220602,20220604,0.83970743,0.858816385269165,1174.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
434,0.8390761613845825,0.725104570388794,1582.0,43,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.213966369628906,20220602,20220604,0.83970743,0.858816385269165,1174.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
435,-15.166913032531738,-14.996901512145996,2741.0,44,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.09162139892578,20210806,20210808,0.8957332,0.898476243019104,2224.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
436,-20.166912078857422,-19.599266052246094,2739.0,44,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.09162139892578,20210806,20210808,0.8957332,0.898476243019104,2224.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
437,-15.166913032531738,4.602364540100098,2741.0,44,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.09162139892578,20210806,20210808,0.8957332,0.898476243019104,2224.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
438,1.0817023515701294,1.0130993127822876,2741.0,44,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.09162139892578,20210806,20210808,0.8957332,0.898476243019104,2224.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
440,-14.03309154510498,-13.973831176757812,2736.0,44,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.08393478393555,20220602,20220604,0.6991415,0.7050937414169312,918.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
441,-21.20473289489746,-20.89946174621582,2736.0,44,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.08393478393555,20220602,20220604,0.6991415,0.7050937414169312,918.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
442,-14.03309154510498,6.925630569458008,2736.0,44,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.08393478393555,20220602,20220604,0.6991415,0.7050937414169312,918.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
443,0.7482731938362122,0.6609803438186646,2736.0,44,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.08393478393555,20220602,20220604,0.6991415,0.7050937414169312,918.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
444,-15.163066864013672,-15.038599014282227,3593.0,45,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.18217849731445,20210806,20210808,0.8321327,0.835962176322937,2926.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
445,-20.563377380371094,-20.03365707397461,3589.0,45,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.18217849731445,20210806,20210808,0.8321327,0.835962176322937,2926.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
446,-15.163066864013672,4.995058059692383,3593.0,45,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.18217849731445,20210806,20210808,0.8321327,0.835962176322937,2926.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
447,1.0212533473968506,0.9520766735076904,3593.0,45,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.18217849731445,20210806,20210808,0.8321327,0.835962176322937,2926.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
453,-8.035918235778809,-7.923982620239258,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.69927215576172,20210806,20210808,0.8579559,0.8680490255355835,4857.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
454,-16.18153190612793,-15.950291633605957,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.69927215576172,20210806,20210808,0.8579559,0.8680490255355835,4857.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
455,-8.035918235778809,8.0263090133667,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.69927215576172,20210806,20210808,0.8579559,0.8680490255355835,4857.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
456,0.5999611020088196,0.5413495302200317,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.69927215576172,20210806,20210808,0.8579559,0.8680490255355835,4857.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
458,-4.573319435119629,-4.482010364532471,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.691856384277344,20220602,20220604,0.19412962,0.19310344755649567,4857.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
459,-21.39716911315918,-20.982666015625,6001.0,46,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.691856384277344,20220602,20220604,0.19412962,0.19310344755649567,4857.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
460,-4.573319435119629,16.50065565109253,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.691856384277344,20220602,20220604,0.19412962,0.19310344755649567,4857.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
461,0.10424774140119553,0.08633345365524292,6004.0,46,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.691856384277344,20220602,20220604,0.19412962,0.19310344755649567,4857.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
462,-8.063158988952637,-7.96205472946167,3345.0,47,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.053035736083984,20210806,20210808,0.87826395,0.8882604837417603,2707.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
463,-15.738581657409668,-15.547286987304688,3345.0,47,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.053035736083984,20210806,20210808,0.87826395,0.8882604837417603,2707.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
464,-8.063158988952637,7.585232257843018,3345.0,47,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.053035736083984,20210806,20210808,0.87826395,0.8882604837417603,2707.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
465,0.657913088798523,0.5936216115951538,3345.0,47,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.053035736083984,20210806,20210808,0.87826395,0.8882604837417603,2707.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
467,-4.851922035217285,-4.68873405456543,3343.0,47,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.046234130859375,20220602,20220604,0.21566379,0.2151477336883545,2707.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
468,-20.00909996032715,-19.684673309326172,3343.0,47,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.046234130859375,20220602,20220604,0.21566379,0.2151477336883545,2707.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
469,-4.851922035217285,14.995939254760742,3343.0,47,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.046234130859375,20220602,20220604,0.21566379,0.2151477336883545,2707.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
470,0.15186940133571625,0.12613420188426971,3343.0,47,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.046234130859375,20220602,20220604,0.21566379,0.2151477336883545,2707.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
471,-12.973783493041992,-12.931745529174805,3428.0,48,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.27803039550781,20210806,20210808,0.8190405,0.8148368000984192,2775.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
472,-21.97732162475586,-21.28282356262207,3421.0,48,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.27803039550781,20210806,20210808,0.8190405,0.8148368000984192,2775.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
473,-12.973783493041992,8.351078033447266,3428.0,48,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.27803039550781,20210806,20210808,0.8190405,0.8148368000984192,2775.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
474,0.5630512237548828,0.49029839038848877,3428.0,48,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.27803039550781,20210806,20210808,0.8190405,0.8148368000984192,2775.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
475,-13.861654281616211,-13.754159927368164,3424.0,48,Subset_S1A_IW_GRDH_1SDV_20220121T194103_20220121T194128_041563_04F181_1F44_Orb_NR_Cal_TC_dB,VV,36.27910232543945,20220121,20220120,0.30921462,0.3087525963783264,2775.0,S2B_MSIL2A_20220120T002049_N0301_R116_T54HYF_20220120T030118.SAFE_NDVI,20220120
476,-27.006546020507812,-25.855058670043945,3267.0,48,Subset_S1A_IW_GRDH_1SDV_20220121T194103_20220121T194128_041563_04F181_1F44_Orb_NR_Cal_TC_dB,VH,36.33515930175781,20220121,20220120,0.30921462,0.3087525963783264,2775.0,S2B_MSIL2A_20220120T002049_N0301_R116_T54HYF_20220120T030118.SAFE_NDVI,20220120
477,-13.861654281616211,12.100898742675781,3424.0,48,Subset_S1A_IW_GRDH_1SDV_20220121T194103_20220121T194128_041563_04F181_1F44_Orb_NR_Cal_TC_dB,CR,36.27910232543945,20220121,20220120,0.30921462,0.3087525963783264,2775.0,S2B_MSIL2A_20220120T002049_N0301_R116_T54HYF_20220120T030118.SAFE_NDVI,20220120
478,0.35363316535949707,0.26206010580062866,3424.0,48,Subset_S1A_IW_GRDH_1SDV_20220121T194103_20220121T194128_041563_04F181_1F44_Orb_NR_Cal_TC_dB-RVI,RVI,36.27910232543945,20220121,20220120,0.30921462,0.3087525963783264,2775.0,S2B_MSIL2A_20220120T002049_N0301_R116_T54HYF_20220120T030118.SAFE_NDVI,20220120
479,0.35363316535949707,0.26206010580062866,3424.0,48,Subset_S1A_IW_GRDH_1SDV_20220121T194103_20220121T194128_041563_04F181_1F44_Orb_NR_Cal_TC_dB-RVI,RVI,36.33515930175781,20220121,20220120,0.30921462,0.3087525963783264,2775.0,S2B_MSIL2A_20220120T002049_N0301_R116_T54HYF_20220120T030118.SAFE_NDVI,20220120
480,-8.331886291503906,-8.164139747619629,3425.0,48,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.270057678222656,20220602,20220604,0.25017902,0.24933545291423798,2775.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
481,-22.545759201049805,-22.062702178955078,3419.0,48,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.270057678222656,20220602,20220604,0.25017902,0.24933545291423798,2775.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
482,-8.331886291503906,13.89856243133545,3425.0,48,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.270057678222656,20220602,20220604,0.25017902,0.24933545291423798,2775.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
483,0.19230538606643677,0.15994545817375183,3425.0,48,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.270057678222656,20220602,20220604,0.25017902,0.24933545291423798,2775.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
484,-15.718008041381836,-15.431476593017578,1103.0,49,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.24893569946289,20210806,20210808,0.9571336,0.9588748216629028,898.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
485,-21.193124771118164,-20.72710609436035,1103.0,49,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.24893569946289,20210806,20210808,0.9571336,0.9588748216629028,898.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
486,-15.718008041381836,5.295629501342773,1103.0,49,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.24893569946289,20210806,20210808,0.9571336,0.9588748216629028,898.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
487,1.0059880018234253,0.9103628396987915,1103.0,49,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.24893569946289,20210806,20210808,0.9571336,0.9588748216629028,898.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
489,-11.22531795501709,-11.240005493164062,1105.0,49,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.241329193115234,20220602,20220604,0.24675205,0.24628522992134094,898.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
490,-22.149730682373047,-21.82638931274414,1105.0,49,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.241329193115234,20220602,20220604,0.24675205,0.24628522992134094,898.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
491,-11.22531795501709,10.586383819580078,1105.0,49,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.241329193115234,20220602,20220604,0.24675205,0.24628522992134094,898.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
492,0.38749009370803833,0.3062490224838257,1105.0,49,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.241329193115234,20220602,20220604,0.24675205,0.24628522992134094,898.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
493,-8.462357521057129,-8.350517272949219,2349.0,50,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.25422668457031,20210806,20210808,0.89392066,0.9004294872283936,1900.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
494,-16.185626983642578,-16.013107299804688,2349.0,50,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.25422668457031,20210806,20210808,0.89392066,0.9004294872283936,1900.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
495,-8.462357521057129,7.662590026855469,2349.0,50,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.25422668457031,20210806,20210808,0.89392066,0.9004294872283936,1900.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
496,0.6476048231124878,0.5889298319816589,2349.0,50,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.25422668457031,20210806,20210808,0.89392066,0.9004294872283936,1900.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
498,-10.389019012451172,-10.342297554016113,2348.0,50,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.246925354003906,20220602,20220604,0.21758763,0.21104058623313904,1900.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
499,-20.003787994384766,-19.67640495300293,2347.0,50,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.246925354003906,20220602,20220604,0.21758763,0.21104058623313904,1900.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
500,-10.389019012451172,9.334107398986816,2348.0,50,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.246925354003906,20220602,20220604,0.21758763,0.21104058623313904,1900.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
501,0.46985456347465515,0.40804213285446167,2348.0,50,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.246925354003906,20220602,20220604,0.21758763,0.21104058623313904,1900.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
502,-13.880804061889648,-13.728568077087402,2697.0,51,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.36206817626953,20210806,20210808,0.9242016,0.9287594556808472,2195.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
503,-20.217315673828125,-19.882158279418945,2697.0,51,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.36206817626953,20210806,20210808,0.9242016,0.9287594556808472,2195.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
504,-13.880804061889648,6.153590202331543,2697.0,51,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.36206817626953,20210806,20210808,0.9242016,0.9287594556808472,2195.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
505,0.8562575578689575,0.7750806212425232,2697.0,51,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.36206817626953,20210806,20210808,0.9242016,0.9287594556808472,2195.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
507,-14.1868257522583,-14.076103210449219,2687.0,51,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.352962493896484,20220602,20220604,0.83792496,0.8716418147087097,2195.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
508,-23.18390464782715,-22.684167861938477,2684.0,51,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.352962493896484,20220602,20220604,0.83792496,0.8716418147087097,2195.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
509,-14.1868257522583,8.608064651489258,2687.0,51,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.352962493896484,20220602,20220604,0.83792496,0.8716418147087097,2195.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
