,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2
21,-17.86375617980957,-17.69361114501953,7777.0,2,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,37.09027099609375,20210806,20210808,0.3833869,0.37491241097450256,6333.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
22,-9.388587951660156,8.404641151428223,7777.0,2,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,37.09027099609375,20210806,20210808,0.3833869,0.37491241097450256,6333.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
23,0.5642539262771606,0.5020105242729187,7777.0,2,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,37.09027099609375,20210806,20210808,0.3833869,0.37491241097450256,6333.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
26,-6.7023725509643555,-6.639204978942871,7787.0,2,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,37.08277893066406,20220602,20220604,0.3095569,0.30694669485092163,6333.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
27,-20.159345626831055,-19.873931884765625,7786.0,2,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,37.08277893066406,20220602,20220604,0.3095569,0.30694669485092163,6333.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
28,-6.7023725509643555,13.234726905822754,7787.0,2,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,37.08277893066406,20220602,20220604,0.3095569,0.30694669485092163,6333.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
29,0.20994199812412262,0.17877843976020813,7787.0,2,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,37.08277893066406,20220602,20220604,0.3095569,0.30694669485092163,6333.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
30,-9.877830505371094,-9.765063285827637,8937.0,3,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,37.07756042480469,20210806,20210808,0.41801074,0.40893471240997314,7257.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
31,-18.488645553588867,-18.259075164794922,8937.0,3,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,37.07756042480469,20210806,20210808,0.41801074,0.40893471240997314,7257.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
32,-9.877830505371094,8.494011878967285,8937.0,3,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,37.07756042480469,20210806,20210808,0.41801074,0.40893471240997314,7257.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
33,0.5549765229225159,0.4898303151130676,8937.0,3,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,37.07756042480469,20210806,20210808,0.41801074,0.40893471240997314,7257.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
36,-6.772175312042236,-6.70711612701416,8915.0,3,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,37.072208404541016,20220602,20220604,0.3023743,0.30176565051078796,7257.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
37,-20.630035400390625,-20.312103271484375,8914.0,3,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,37.072208404541016,20220602,20220604,0.3023743,0.30176565051078796,7257.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
38,-6.772175312042236,13.604987144470215,8915.0,3,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,37.072208404541016,20220602,20220604,0.3023743,0.30176565051078796,7257.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
39,0.19426321983337402,0.16525866091251373,8915.0,3,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,37.072208404541016,20220602,20220604,0.3023743,0.30176565051078796,7257.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
40,-11.533687591552734,-11.449881553649902,11384.0,4,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.53061294555664,20210806,20210808,0.7240985,0.7324809432029724,9227.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
41,-18.375595092773438,-18.134593963623047,11384.0,4,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.53061294555664,20210806,20210808,0.7240985,0.7324809432029724,9227.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
42,-11.533687591552734,6.6847124099731445,11384.0,4,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.53061294555664,20210806,20210808,0.7240985,0.7324809432029724,9227.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
43,0.7678630352020264,0.7044028639793396,11384.0,4,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.53061294555664,20210806,20210808,0.7240985,0.7324809432029724,9227.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
45,-12.624872207641602,-12.56286907196045,11377.0,4,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.523712158203125,20220602,20220604,0.20269956,0.20174849033355713,9227.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
46,-26.316198348999023,-25.45951271057129,11237.0,4,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.523712158203125,20220602,20220604,0.20269956,0.20174849033355713,9227.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
47,-12.624872207641602,12.89664363861084,11377.0,4,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.523712158203125,20220602,20220604,0.20269956,0.20174849033355713,9227.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
48,0.238059401512146,0.18651291728019714,11377.0,4,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.523712158203125,20220602,20220604,0.20269956,0.20174849033355713,9227.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
49,-14.941959381103516,-14.789631843566895,6006.0,5,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.332908630371094,20210806,20210808,0.93676263,0.9401353597640991,4859.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
50,-20.02898597717285,-19.72394371032715,6005.0,5,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.332908630371094,20210806,20210808,0.93676263,0.9401353597640991,4859.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
51,-14.941959381103516,4.934311866760254,6006.0,5,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.332908630371094,20210806,20210808,0.93676263,0.9401353597640991,4859.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
52,1.041582465171814,0.9648277759552002,6006.0,5,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.332908630371094,20210806,20210808,0.93676263,0.9401353597640991,4859.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
54,-15.057987213134766,-14.953417778015137,5998.0,5,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.3255615234375,20220602,20220604,0.19753039,0.19654139876365662,4859.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
55,-24.956045150756836,-24.239839553833008,5977.0,5,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.3255615234375,20220602,20220604,0.19753039,0.19654139876365662,4859.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
56,-15.057987213134766,9.286421775817871,5998.0,5,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.3255615234375,20220602,20220604,0.19753039,0.19654139876365662,4859.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
57,0.483426034450531,0.41503870487213135,5998.0,5,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.3255615234375,20220602,20220604,0.19753039,0.19654139876365662,4859.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
58,-13.517927169799805,-13.356669425964355,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.982872009277344,20210806,20210808,0.88412493,0.8851400017738342,5833.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
59,-19.145212173461914,-18.88434600830078,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.982872009277344,20210806,20210808,0.88412493,0.8851400017738342,5833.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
60,-13.517927169799805,5.527676582336426,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.982872009277344,20210806,20210808,0.88412493,0.8851400017738342,5833.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
61,0.9400176405906677,0.8712848424911499,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.982872009277344,20210806,20210808,0.88412493,0.8851400017738342,5833.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
64,-10.823895454406738,-10.758853912353516,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.97584915161133,20220602,20220604,0.21262574,0.2035175859928131,5833.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
65,-19.17812728881836,-18.950960159301758,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.97584915161133,20220602,20220604,0.21262574,0.2035175859928131,5833.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
66,-10.823895454406738,8.192106246948242,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.97584915161133,20220602,20220604,0.21262574,0.2035175859928131,5833.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
67,0.5874006748199463,0.5225744843482971,7200.0,6,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.97584915161133,20220602,20220604,0.21262574,0.2035175859928131,5833.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
68,-11.602069854736328,-11.490921020507812,7319.0,7,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.633201599121094,20210806,20210808,0.90613735,0.9116466045379639,5886.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
69,-18.855310440063477,-18.65799903869629,7319.0,7,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.633201599121094,20210806,20210808,0.90613735,0.9116466045379639,5886.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
70,-11.602069854736328,7.167078018188477,7319.0,7,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.633201599121094,20210806,20210808,0.90613735,0.9116466045379639,5886.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
71,0.7063552141189575,0.6404582858085632,7319.0,7,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.633201599121094,20210806,20210808,0.90613735,0.9116466045379639,5886.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
