,mean_novasar,median_novasar,count_novasar,polygon_id,filename_novasar,polarization,incidence_angle,date_novasar,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
0,-11.598123550415039,-11.712430000305176,146.0,0,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,HH,26.81233024597168,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
1,-19.610790252685547,-19.609821319580078,146.0,0,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,HV,26.81233024597168,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
2,0.012884951196610928,0.01094001717865467,146.0,0,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,RVI,26.81233024597168,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
3,-11.598123550415039,7.897391319274902,146.0,0,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,CR,26.81233024597168,20230305,20230306,0.110612854,0.10738831758499146,141.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.25679347,20230306,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
4,0.6464617848396301,0.8497583866119385,147.0,0,NovaSAR_01_46818_scd_32_230806_152509_HH_HV_TC2_modified-linear,HH,13.421660423278809,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
5,-13.59329605102539,-13.424712181091309,147.0,0,NovaSAR_01_46818_scd_32_230806_152509_HH_HV_TC2_modified-linear,HV,13.421660423278809,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
6,0.04790191724896431,0.04544946923851967,147.0,0,NovaSAR_01_46818_scd_32_230806_152509_HH_HV_TC2_modified-linear,RVI,13.421660423278809,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
7,0.6464617848396301,14.274470567703247,147.0,0,NovaSAR_01_46818_scd_32_230806_152509_HH_HV_TC2_modified-linear,CR,13.421660423278809,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
8,-11.1224946975708,-11.361815452575684,534.0,1,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,HH,26.805999755859375,20230305,20230306,0.1200222,0.11968276649713516,525.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.1270696,20230306,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
9,-18.728391647338867,-18.760313034057617,534.0,1,NovaSAR_01_42627_scd_32_230305_030519_HH_HV_TC2-linear,HV,26.805999755859375,20230305,20230306,0.1200222,0.11968276649713516,525.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.1270696,20230306,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
